original_description,cleaned_name,category
MEDCARE HOSPITAL LLC DUBAI ARE,Medcare Hospital,Healthcare & Pharmacy
"NANDOS MIR QLUB, DUBAI DUBAI ARE",Nando's,Dining & Food Delivery
MAWGIF DUBAI ARE,Mawgif (Parking),Transport & Fuel
URBANCLAP DUBAI ARE,UrbanClap / Urban Company,Home Services & Laundry
TALABAT COM DUBAI ARE,Talabat (Food Delivery),Dining & Food Delivery
*ANTHROPIC* CLAUDE SUB ANTHROPIC.CO,Anthropic (Claude Subscription),Subscriptions
NOON MINUTES LLC DUBAI ARE,Noon Minutes (Quick Grocery Delivery),Groceries
NOON DUBAI ARE,Noon Food,Dining & Food Delivery
DUBAI DIGITAL AUTHORITY DUBAI ARE,Dubai Digital Authority,Government & Digital Services
SUPER KIDS NURSERY LLC DUBAI ARE,Super Kids Nursery,Kids & Education
ABU DHABI NATIONAL HOTELS DUBAI ARE,Abu Dhabi National Hotels (Office Lunch Provider),Dining & Food Delivery
NUJOOM AL WARQA LAUNDRY DUBAI ARE,Nujoom Al Warqa Laundry,Home Services & Laundry
E& DIGITAL APP ABU DHABI ARE,e& (Etisalat) Telecom,Utilities & Telecom
DESCO COPY CENTRE DUBAI ARE,Desco Copy Centre,Retail
TRANSFER PAYMENT RECEIVED THANK YOU,Payment Received,Payments & Transfers
DIGITAL DUBAI DUBAI ARE,Digital Dubai,Government & Digital Services
ENOC SITE 1066 DUBAI ARE,ENOC Fuel Station,Transport & Fuel
NETFLIX.COM 408-724-9160 NLD,Netflix,Subscriptions
EXPLORER DUBAI ARE,Explorer,Entertainment
CARREFOUR-MIRDIF CC DUBAI ARE,Carrefour,Groceries
JUSTLIFE DUBAI ARE,Justlife (Home Services),Home Services & Laundry
STAR FLASH DIGITAL STU DUBAI ARE,Star Flash Digital Studio,Retail
CAFTERIA FLAFEL ABU NEAIM RAS AL KHAIMA,Cafteria Flafel Abu Neaim,Dining & Food Delivery
BASKIN ROBBINS DUBAI ARE,Baskin Robbins,Dining & Food Delivery
HOME CENTRE DUBAI ARE,Home Centre,Shopping
TEXAS CHICKEN MIRDIF CC DUBAI ARE,Texas Chicken,Dining & Food Delivery
MEDCARE MEDICAL CENTER DUBAI ARE,Medcare Medical Center,Healthcare & Pharmacy
AL AIN FOOD AND BEVERAG AL AIN ARE,Al Ain Food and Beverages,Groceries
FIRSTCRY RETAIL DWC LLC DUBAI ARE,FirstCry Retail (Baby Products),Shopping
NOQODI ONLINE DUBAI ARE,Noqodi (Govt. Payment Platform),Government & Digital Services
CARREFOURUAE.COM DUBAI ARE,Carrefour,Groceries
CAFFE NERO ALTAYER TRENDS DUBAI ARE,Caffe Nero,Dining & Food Delivery
MUHAMMAD ARSHAD ISLAM PAR DUBAI ARE,Muhammad Arshad Islam (Small Merchant),Transport & Fuel
GREEN HOUSE INTERNATIONAL DUBAI ARE,Green House International,Shopping
EMARAT 1691 MUTINA S DUBAI ARE,Emarat Fuel/Convenience Store,Transport & Fuel
SMILES ABU DHABI ARE,Smiles (Airline Loyalty Program),Utilities & Telecom
E& ABU DHABI ARE,e& (Etisalat) Telecom,Utilities & Telecom
EMIRATES CENTRAL COOLING DUBAI ARE,Emirates Central Cooling (Empower),Utilities & Telecom
DUBAI ELECTRICITY DUBAI ARE,Dubai Electricity & Water (DEWA),Utilities & Telecom
MCDONALDS-CITY CNT MIR DUBAI ARE,McDonald's,Dining & Food Delivery
SHAY AL SHABAB CAFE DUBAI ARE,Shay Al Shabab Cafe,Dining & Food Delivery
MAJID AL FUTTAIM DUBAI ARE,Majid Al Futtaim,Entertainment
R AND B DUBAI ARE,R&B,Shopping
LRIL DUBAI ARE,Centrepoint,Shopping
AL SAJ AL SHAMI RESTAUR DUBAI ARE,Al Saj Al Shami Restaurant,Dining & Food Delivery
CARREFOUR BR OF FU COM LL DUBAI ARE,Carrefour,Groceries
VOX CINEMAS DUBAI ARE,VOX Cinemas,Entertainment
APPLE.COM/BILL ITUNES.COM IRL,Apple / iTunes,Subscriptions
ICP ABU DHABI ARE,ICP Abu Dhabi,Government & Digital Services
SHEIKH AL KARAK CAFETERIA DUBAI ARE,Sheikh Al Karak Cafeteria,Dining & Food Delivery
MCDONALDS- AL WARQAA DUBAI ARE,McDonald's,Dining & Food Delivery
WAITROSE FOUNTAIN VIEW DUBAI ARE,Waitrose,Groceries
NOQ*ZAJEL COURIER SER DUBAI ARE,Zajel Courier Service,Retail
BURGER KING GHOROOB DUBAI ARE,Burger King,Dining & Food Delivery
ODD DUBAI ARE,ODD Dubai,Retail
LIENZO PHOTOGRAPHIC STU DUBAI ARE,Lienzo Photographic Studio,Retail
CAREEM HALA ABU DHABI ARE,Careem (Ride Hailing),Transport & Fuel
UMAMI RESTAURANT DUBAI ARE,Umami Restaurant,Dining & Food Delivery
ADNOC GHOROOB 378 DUBAI ARE,ADNOC Fuel Station,Transport & Fuel
RAISING CANES ALSHAYA DUBAI ARE,Raising Cane's,Dining & Food Delivery
BETA PHARMACY(ASTER GROUP DUBAI ARE,Beta Pharmacy (Aster Group),Healthcare & Pharmacy
NOON ONE DUBAI ARE,Noon One (Membership),Subscriptions
DANAT SHAY CAFETERIA DUBAI ARE,Danat Shay Cafeteria,Dining & Food Delivery
QASER AL KABAYEL DUBAI ARE,Qaser Al Kabayel,Shopping
MEDICLINIC CITY HOSPITAL DUBAI ARE,Mediclinic City Hospital,Healthcare & Pharmacy
INSTALLMENT PLAN EMI (03/04) NUJOOM AL WARQA LAUNDRY,Installment Plan EMI - Nujoom Al Warqa Laundry,Home Services & Laundry
